Time,Open,High,Low,Close,Vol,Percent,Id,Timestamp,Vol20,Vol21
1558722300,32600,32700,32600,32700,0.9335224,None,0,2019-05-24 18:25:00,0.9335224,1.7779318809999924
1558722600,32600.3,32698,32532,32697.99,1.17933198,-0.01,1,2019-05-24 18:30:00,1.17933198,1.7328689329999925
1558722900,32697.99,32697.99,32550.00003,32697.99,2.26943328,0.0,2,2019-05-24 18:35:00,2.26943328,1.7846234759999926
1558723200,32550.00003,32795.04523,32550.00003,32649,7.73260274,-0.15,3,2019-05-24 18:40:00,7.73260274,2.1274118094999923
1558723500,32649,32784,32565.00005,32567.03001,3.07023514,-0.25,4,2019-05-24 18:45:00,3.07023514,2.2429539189999925
1558723800,32739.45,32783.98,32570.00004,32780,0.8644898,0.65,5,2019-05-24 18:50:00,0.8644898,2.2358718889999927
1558724100,32780,32780,32574.00001,32778.97899,0.73713983,-0.0,6,2019-05-24 18:55:00,0.73713983,2.1431863229999926
1558724400,32581,32780,32580.00001,32759.97993,2.40810391,-0.06,7,2019-05-24 19:00:00,2.40810391,2.174902839499993
1558724700,32600.00003,32774.9,32585.5,32697.99,2.25655288,-0.19,8,2019-05-24 19:05:00,2.25655288,2.160048023499993
1558725000,32689.99,32699.99,32585.49,32688.14,1.0245747,-0.03,9,2019-05-24 19:10:00,1.0245747,2.112363041999993
1558725300,32585.49003,32688.14,32585.49,32687.95,1.51683101,-0.0,10,2019-05-24 19:15:00,1.51683101,2.118872181499993
1558725600,32687.94994,32687.99,32580,32580,1.39034774,-0.33,11,2019-05-24 19:20:00,1.39034774,2.133276387499993
1558725900,32687.98985,32773,32513.97865,32732.99,3.7353182,0.47,12,2019-05-24 19:25:00,3.7353182,2.272252098999993
1558726200,32513.97865,32732.99,32513.97865,32515,0.54287392,-0.67,13,2019-05-24 19:30:00,0.54287392,2.2336907759999933
1558726500,32726.44,32726.45992,32515,32668.90993,0.85244377,0.47,14,2019-05-24 19:35:00,0.85244377,1.9130765884999932
1558726800,32668.47993,32668.91,32513,32664.97993,2.31093665,-0.01,15,2019-05-24 19:40:00,2.31093665,1.9369113954999932
1558727100,32664.97993,32665,32520,32520,1.18871426,-0.44,16,2019-05-24 19:45:00,1.18871426,1.8551564644999932
1558727400,32520.00003,32718,32500.09001,32664.99993,5.29550775,0.45,17,2019-05-24 19:50:00,5.29550775,2.024076742499993
1558727700,32664.99994,32746.66,32500.13047,32731.99998,1.90486289,0.21,18,2019-05-24 19:55:00,1.90486289,2.097254231999993
1558728000,32506.00007,32767,32501.02,32767,1.75830408,0.11,19,2019-05-24 20:00:00,1.75830408,2.148606346499993
1558728300,32535.00029,32749.99999,32501.02,32748.97977,0.87020345,-0.05,20,2019-05-24 20:05:00,0.87020345,2.145440398999993
1558728600,32503.06007,32747,32503.06007,32512,0.99643246,-0.72,21,2019-05-24 20:10:00,0.99643246,2.136295422999993
1558728900,32744.99955,32744.99962,32513.24,32614.57,0.41463476,0.32,22,2019-05-24 20:15:00,0.41463476,2.0435554969999927
1558729200,32650,32650,32516.01001,32518.01004,0.78390344,-0.3,23,2019-05-24 20:20:00,0.78390344,1.696120531999993
1558729500,32518.02,32750,32518.01004,32570,4.89601395,0.16,24,2019-05-24 20:25:00,4.89601395,1.7874094724999932
1558729800,32749.95,32749.96,32570,32570,0.82500322,0.0,25,2019-05-24 20:30:00,0.82500322,1.785435143499993
1558730100,32746.98991,32748,32522.03001,32744.49999,1.20410407,0.54,26,2019-05-24 20:35:00,1.20410407,1.8087833554999933
1558730400,32744.49999,32744.5,32522.12095,32544.49999,0.41391322,-0.61,27,2019-05-24 20:40:00,0.41391322,1.709073820999993
1558730700,32522.52001,32742,32522.52001,32544.50001,0.34448741,0.0,28,2019-05-24 20:45:00,0.34448741,1.6134705474999929
1558731000,32544.5,32743.99999,32544.5,32546.00016,1.06235461,0.0,29,2019-05-24 20:50:00,1.06235461,1.6153595429999927
1558731300,32719.99999,32743.99,32545,32545,0.4415601,-0.0,30,2019-05-24 20:55:00,0.4415601,1.5615959974999927
1558731600,32623.70144,32699.99993,32545.00003,32561.02003,0.22447929,0.05,31,2019-05-24 21:00:00,0.22447929,1.5033025749999926
1558731900,32561.16009,32700,32561,32565.00006,0.29685508,0.01,32,2019-05-24 21:05:00,0.29685508,1.3313794189999928
1558732200,32565.00003,32749.96,32565.00003,32565.00003,2.39284978,-0.0,33,2019-05-24 21:10:00,2.39284978,1.4238782119999926
1558732500,32749.9499,32749.94992,32565.00006,32729.99993,0.09045279,0.51,34,2019-05-24 21:15:00,0.09045279,1.3857786629999926
1558732800,32699.99993,32739.99,32567,32568.00003,0.15434389,-0.49,35,2019-05-24 21:20:00,0.15434389,1.2779490249999927
1558733100,32709.99993,32709.99993,32561,32561,0.48905841,-0.02,36,2019-05-24 21:25:00,0.48905841,1.2429662324999926
1558733400,32700,32700,32550,32670,1.38029573,0.33,37,2019-05-24 21:30:00,1.38029573,1.0472056314999927
1558733700,32670,32670,32544.5,32670,0.38677401,0.0,38,2019-05-24 21:35:00,0.38677401,0.9713011874999926
1558734000,32670,32670,32544.50003,32669.99993,0.40657484,-0.0,39,2019-05-24 21:40:00,0.40657484,0.9037147254999928
1558734300,32545.00003,32679.99999,32522.2105,32670,1.99830682,0.0,40,2019-05-24 21:45:00,1.99830682,0.9601198939999929
1558734600,32670,32709.99,32505.30024,32505.30049,1.01666691,-0.5,41,2019-05-24 21:50:00,1.01666691,0.9611316164999929
1558734900,32701.99993,32701.99993,32505.101,32629.98993,0.35191952,0.38,42,2019-05-24 21:55:00,0.35191952,0.9579958544999929
1558735200,32629.98993,32702,32505.25003,32506.00001,0.86222111,-0.38,43,2019-05-24 22:00:00,0.86222111,0.961911737999993
1558735500,32699.99993,32700,32505.101,32679.99993,1.36158658,0.54,44,2019-05-24 22:05:00,1.36158658,0.785190369499993
1558735800,32649.99993,32674.55,32505.99003,32659.99993,0.13530933,-0.06,45,2019-05-24 22:10:00,0.13530933,0.750705674999993
1558736100,32505.99003,32669,32505.101,32669,0.26370435,0.03,46,2019-05-24 22:15:00,0.26370435,0.703685688999993
1558736400,32660,32660,32505.101,32649.99993,1.05754879,-0.06,47,2019-05-24 22:20:00,1.05754879,0.735867467499993
1558736700,32507,32699.97,32505.101,32699,0.95484185,0.15,48,2019-05-24 22:25:00,0.95484185,0.766385189499993
1558737000,32505.30001,32669,32505.3,32505.3,0.12193142,-0.59,49,2019-05-24 22:30:00,0.12193142,0.719364029999993
1558737300,32668.99993,32749.99,32505.30003,32600,2.74030907,0.29,50,2019-05-24 22:35:00,2.74030907,0.834301478499993
1558737600,32748.99993,32748.99993,32600,32600,0.2710715,0.0,51,2019-05-24 22:40:00,0.2710715,0.8366310889999931
1558737900,32600.00003,32600.00003,32505.1,32506.00013,0.5670858,-0.29,52,2019-05-24 22:45:00,0.5670858,0.850142624999993
1558738200,32600,32730,32506.00016,32506.00045,0.03420042,0.0,53,2019-05-24 22:50:00,0.03420042,0.732210156999993
1558738500,32729.97976,32729.97976,32506,32700,0.106458,0.6,54,2019-05-24 22:55:00,0.106458,0.7330104174999931
1558738800,32506.00003,32699.83987,32500.0001,32506,0.60910745,-0.59,55,2019-05-24 23:00:00,0.60910745,0.7557485954999931
1558739100,32696.98973,32696.9898,32500,32500,1.14493039,-0.02,56,2019-05-24 23:05:00,1.14493039,0.7885421944999931
1558739400,32649.79993,32649.79993,32483,32483,2.29767754,-0.05,57,2019-05-24 23:10:00,2.29767754,0.8344112849999931
1558739700,32479.4,32548.5,32479.39,32547.98999,0.2034568,0.2,58,2019-05-24 23:15:00,0.2034568,0.8252454244999932
1558740000,32479.39,32547.90974,32357.00013,32357.00013,2.09753264,-0.59,59,2019-05-24 23:20:00,2.09753264,0.9097933144999931
1558740300,32547.28762,32547.28762,32357.00013,32357.00013,0.20750196,0.0,60,2019-05-24 23:25:00,0.20750196,0.820253071499993
1558740600,32357.00013,32449.97987,32320,32448.93973,0.33746401,0.28,61,2019-05-24 23:30:00,0.33746401,0.7862929264999932
1558740900,32448.93973,32448.93973,32320,32447.99993,0.56649512,-0.0,62,2019-05-24 23:35:00,0.56649512,0.7970217064999933
1558741200,32447.99993,32450,32447.99,32450,1.38189395,0.01,63,2019-05-24 23:40:00,1.38189395,0.8230053484999932
1558741500,32400,32450,32321,32321,0.35918893,-0.4,64,2019-05-24 23:45:00,0.35918893,0.7728854659999931
1558741800,32321,32448,32321,32447.99993,0.50342403,0.39,65,2019-05-24 23:50:00,0.50342403,0.7912912009999931
1558742100,32321.00003,32448,32321.00003,32323.00003,0.05308811,-0.39,66,2019-05-24 23:55:00,0.05308811,0.780760388999993
1558742400,32323.00003,32450,32323,32323,0.14463927,-0.0,67,2019-05-25 00:00:00,0.14463927,0.735114912999993
1558742700,32323,32449,32322.97865,32322.97868,0.46528457,-0.0,68,2019-05-25 00:05:00,0.46528457,0.710637048999993
1558743000,32330.00003,32449,32330.00001,32449,0.1580324,0.39,69,2019-05-25 00:10:00,0.1580324,0.712442097999993
1558743300,32352,32450,32352,32450,0.34075239,0.0,70,2019-05-25 00:15:00,0.34075239,0.5924642639999931
1558743600,32449,32449,32352.5,32352.7,0.20838,-0.3,71,2019-05-25 00:20:00,0.20838,0.589329688999993
